variable,clay_fraction,clay_fraction,clay_fraction,climate_KG,climate_KG,climate_KG,climate_insitu,climate_insitu,climate_insitu,elevation,elevation,elevation,instrument,instrument,instrument,latitude,latitude,latitude,lc_2000,lc_2000,lc_2000,lc_2005,lc_2005,lc_2005,lc_2010,lc_2010,lc_2010,lc_insitu,lc_insitu,lc_insitu,longitude,longitude,longitude,network,network,network,organic_carbon,organic_carbon,organic_carbon,sand_fraction,sand_fraction,sand_fraction,saturation,saturation,saturation,silt_fraction,silt_fraction,silt_fraction,station,station,station,timerange_from,timerange_from,timerange_from,timerange_to,timerange_to,timerange_to,variable,variable,variable,file_path,file_type
1290,,,,,,Dfc,,,unknown,,,1730.0,0.4,0.4,CS616,,,45.6,,,70,,,70,,,70,,,unknown,,,7.35,,,LABFLUX,,,,,,,,,,,,,,,Cogne,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,LABFLUX/Cogne/LABFLUX_LABFLUX_Cogne_sm_0.400000_0.400000_CS616_20171005_20190311.stm,header_values
1291,0.0,0.3,19.0,,,Dfc,,,unknown,,,2555.0,0.1,0.1,Meter-EC-5,,,45.51918,,,10,,,10,,,10,,,unknown,,,7.17144,,,LABFLUX,0.0,0.3,2.13,0.0,0.3,37.0,0.0,0.3,0.49,0.0,0.3,44.0,,,Nivolet,,,2018-08-16 13:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,LABFLUX/Nivolet/LABFLUX_LABFLUX_Nivolet_sm_0.100000_0.100000_Meter-EC-5_20171005_20190311.stm,header_values
1292,0.0,0.3,19.0,,,Dfc,,,unknown,,,2555.0,0.2,0.2,Meter-EC-5,,,45.51918,,,10,,,10,,,10,,,unknown,,,7.17144,,,LABFLUX,0.0,0.3,2.13,0.0,0.3,37.0,0.0,0.3,0.49,0.0,0.3,44.0,,,Nivolet,,,2018-08-16 13:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,LABFLUX/Nivolet/LABFLUX_LABFLUX_Nivolet_sm_0.200000_0.200000_Meter-EC-5_20171005_20190311.stm,header_values
1293,,,,,,Dfc,,,unknown,,,2555.0,0.4,0.4,Meter-EC-5,,,45.51918,,,10,,,10,,,10,,,unknown,,,7.17144,,,LABFLUX,,,,,,,,,,,,,,,Nivolet,,,2018-08-16 13:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,LABFLUX/Nivolet/LABFLUX_LABFLUX_Nivolet_sm_0.400000_0.400000_Meter-EC-5_20171005_20190311.stm,header_values
1294,0.0,0.3,23.0,,,Dwc,,,unknown,,,3507.0,0.05,0.05,ECH20-EC-TM,,,33.9,,,10,,,10,,,10,,,,,,101.9666,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,CST-03,,,2018-09-28 22:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/CST-03/MAQU_MAQU_CST-03_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1295,0.0,0.3,23.0,,,Dwc,,,unknown,,,3507.0,0.1,0.1,ECH20-EC-TM,,,33.9,,,10,,,10,,,10,,,,,,101.9666,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,CST-03,,,2018-07-13 06:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/CST-03/MAQU_MAQU_CST-03_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1296,0.0,0.3,23.0,,,Dwc,,,unknown,,,3507.0,0.2,0.2,ECH20-EC-TM,,,33.9,,,10,,,10,,,10,,,,,,101.9666,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,CST-03,,,2018-07-13 06:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/CST-03/MAQU_MAQU_CST-03_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1297,0.3,1.0,23.0,,,Dwc,,,unknown,,,3507.0,0.4,0.4,ECH20-EC-TM,,,33.9,,,10,,,10,,,10,,,,,,101.9666,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,CST-03,,,2018-07-13 06:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/CST-03/MAQU_MAQU_CST-03_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1298,0.3,1.0,23.0,,,Dwc,,,unknown,,,3507.0,0.8,0.8,ECH20-EC-TM,,,33.9,,,10,,,10,,,10,,,,,,101.9666,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,CST-03,,,2018-07-13 06:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,MAQU/CST-03/MAQU_MAQU_CST-03_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1299,0.0,0.3,23.0,,,Dwc,,,unknown,,,3504.0,0.05,0.05,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,101.7166,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,CST-04,,,2017-10-05 00:00:00,,,2018-07-13 02:00:00,0.05,0.05,soil_moisture,MAQU/CST-04/MAQU_MAQU_CST-04_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1300,0.0,0.3,23.0,,,Dwc,,,unknown,,,3504.0,0.1,0.1,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,101.7166,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,CST-04,,,2017-10-05 00:00:00,,,2018-07-13 02:00:00,0.1,0.1,soil_moisture,MAQU/CST-04/MAQU_MAQU_CST-04_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1301,0.3,1.0,23.0,,,Dwc,,,unknown,,,3504.0,0.4,0.4,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,101.7166,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,CST-04,,,2017-10-05 00:00:00,,,2018-07-13 02:00:00,0.4,0.4,soil_moisture,MAQU/CST-04/MAQU_MAQU_CST-04_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1302,0.3,1.0,23.0,,,Dwc,,,unknown,,,3504.0,0.8,0.8,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,101.7166,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,CST-04,,,2017-10-05 00:00:00,,,2018-07-13 02:00:00,0.8,0.8,soil_moisture,MAQU/CST-04/MAQU_MAQU_CST-04_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1303,0.0,0.3,20.0,,,Dwc,,,unknown,,,3542.0,0.05,0.05,ECH20-EC-TM,,,33.6666,,,40,,,40,,,40,,,,,,101.8833,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,CST-05,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/CST-05/MAQU_MAQU_CST-05_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1304,0.0,0.3,20.0,,,Dwc,,,unknown,,,3542.0,0.1,0.1,ECH20-EC-TM,,,33.6666,,,40,,,40,,,40,,,,,,101.8833,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,CST-05,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/CST-05/MAQU_MAQU_CST-05_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1305,0.0,0.3,20.0,,,Dwc,,,unknown,,,3542.0,0.2,0.2,ECH20-EC-TM,,,33.6666,,,40,,,40,,,40,,,,,,101.8833,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,CST-05,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/CST-05/MAQU_MAQU_CST-05_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1306,,,,,,Dwc,,,unknown,,,3542.0,0.4,0.4,ECH20-EC-TM,,,33.6666,,,40,,,40,,,40,,,,,,101.8833,,,MAQU,,,,,,,,,,,,,,,CST-05,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/CST-05/MAQU_MAQU_CST-05_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1307,,,,,,Dwc,,,unknown,,,3542.0,0.8,0.8,ECH20-EC-TM,,,33.6666,,,40,,,40,,,40,,,,,,101.8833,,,MAQU,,,,,,,,,,,,,,,CST-05,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,MAQU/CST-05/MAQU_MAQU_CST-05_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1308,0.0,0.3,22.0,,,Dwc,,,unknown,,,3431.0,0.05,0.05,ECH20-EC-TM,,,33.8933,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.0,0.3,1.65,0.0,0.3,39.0,0.0,0.3,0.47,0.0,0.3,39.0,,,NST-01,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-01/MAQU_MAQU_NST-01_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1309,0.0,0.3,22.0,,,Dwc,,,unknown,,,3431.0,0.1,0.1,ECH20-EC-TM,,,33.8933,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.0,0.3,1.65,0.0,0.3,39.0,0.0,0.3,0.47,0.0,0.3,39.0,,,NST-01,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-01/MAQU_MAQU_NST-01_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1310,0.0,0.3,22.0,,,Dwc,,,unknown,,,3431.0,0.2,0.2,ECH20-EC-TM,,,33.8933,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.0,0.3,1.65,0.0,0.3,39.0,0.0,0.3,0.47,0.0,0.3,39.0,,,NST-01,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-01/MAQU_MAQU_NST-01_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1311,0.3,1.0,28.0,,,Dwc,,,unknown,,,3431.0,0.8,0.8,ECH20-EC-TM,,,33.8933,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.3,1.0,0.69,0.3,1.0,37.0,0.3,1.0,0.44,0.3,1.0,35.0,,,NST-01,,,2017-10-05 00:00:00,,,2018-07-11 09:00:00,0.8,0.8,soil_moisture,MAQU/NST-01/MAQU_MAQU_NST-01_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1312,0.0,0.3,56.0,,,Dwc,,,unknown,,,3513.0,0.05,0.05,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.0,0.3,2.27,0.0,0.3,15.0,0.0,0.3,0.53,0.0,0.3,29.0,,,NST-03,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-03/MAQU_MAQU_NST-03_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1313,0.0,0.3,56.0,,,Dwc,,,unknown,,,3513.0,0.1,0.1,ECH20-EC-TM,,,33.7666,,,10,,,10,,,10,,,,,,102.1333,,,MAQU,0.0,0.3,2.27,0.0,0.3,15.0,0.0,0.3,0.53,0.0,0.3,29.0,,,NST-03,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-03/MAQU_MAQU_NST-03_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1314,0.0,0.3,32.0,,,Dwc,,,unknown,,,3476.0,0.05,0.05,ECH20-EC-TM,,,33.6333,,,40,,,40,,,40,,,,,,102.05,,,MAQU,0.0,0.3,39.4,0.0,0.3,35.0,0.0,0.3,1.75,0.0,0.3,33.0,,,NST-05,,,2018-07-11 07:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-05/MAQU_MAQU_NST-05_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1315,0.0,0.3,32.0,,,Dwc,,,unknown,,,3476.0,0.1,0.1,ECH20-EC-TM,,,33.6333,,,40,,,40,,,40,,,,,,102.05,,,MAQU,0.0,0.3,39.4,0.0,0.3,35.0,0.0,0.3,1.75,0.0,0.3,33.0,,,NST-05,,,2018-07-11 07:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-05/MAQU_MAQU_NST-05_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1316,0.0,0.3,32.0,,,Dwc,,,unknown,,,3476.0,0.2,0.2,ECH20-EC-TM,,,33.6333,,,40,,,40,,,40,,,,,,102.05,,,MAQU,0.0,0.3,39.4,0.0,0.3,35.0,0.0,0.3,1.75,0.0,0.3,33.0,,,NST-05,,,2018-07-11 07:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-05/MAQU_MAQU_NST-05_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1317,0.3,1.0,25.0,,,Dwc,,,unknown,,,3476.0,0.4,0.4,ECH20-EC-TM,,,33.6333,,,40,,,40,,,40,,,,,,102.05,,,MAQU,0.3,1.0,38.46,0.3,1.0,52.0,0.3,1.0,1.97,0.3,1.0,23.0,,,NST-05,,,2018-07-11 07:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/NST-05/MAQU_MAQU_NST-05_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1318,0.3,1.0,25.0,,,Dwc,,,unknown,,,3476.0,0.8,0.8,ECH20-EC-TM,,,33.6333,,,40,,,40,,,40,,,,,,102.05,,,MAQU,0.3,1.0,38.46,0.3,1.0,52.0,0.3,1.0,1.97,0.3,1.0,23.0,,,NST-05,,,2018-07-11 07:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,MAQU/NST-05/MAQU_MAQU_NST-05_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1319,0.0,0.3,20.0,,,Dwc,,,unknown,,,3428.0,0.05,0.05,ECH20-EC-TM,,,34.0,,,10,,,10,,,10,,,,,,102.2666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-06,,,2018-07-12 11:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-06/MAQU_MAQU_NST-06_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1320,0.0,0.3,20.0,,,Dwc,,,unknown,,,3428.0,0.1,0.1,ECH20-EC-TM,,,34.0,,,10,,,10,,,10,,,,,,102.2666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-06,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-06/MAQU_MAQU_NST-06_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1321,0.0,0.3,20.0,,,Dwc,,,unknown,,,3428.0,0.2,0.2,ECH20-EC-TM,,,34.0,,,10,,,10,,,10,,,,,,102.2666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-06,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-06/MAQU_MAQU_NST-06_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1322,,,,,,Dwc,,,unknown,,,3428.0,0.4,0.4,ECH20-EC-TM,,,34.0,,,10,,,10,,,10,,,,,,102.2666,,,MAQU,,,,,,,,,,,,,,,NST-06,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/NST-06/MAQU_MAQU_NST-06_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1323,0.0,0.3,23.0,,,Dwc,,,unknown,,,3430.0,0.05,0.05,ECH20-EC-TM,,,33.9833,,,130,,,130,,,130,,,,,,102.35,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-07,,,2017-10-05 00:00:00,,,2018-12-30 16:00:00,0.05,0.05,soil_moisture,MAQU/NST-07/MAQU_MAQU_NST-07_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1324,0.0,0.3,23.0,,,Dwc,,,unknown,,,3430.0,0.1,0.1,ECH20-EC-TM,,,33.9833,,,130,,,130,,,130,,,,,,102.35,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-07,,,2017-10-05 00:00:00,,,2018-07-18 12:00:00,0.1,0.1,soil_moisture,MAQU/NST-07/MAQU_MAQU_NST-07_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1325,0.0,0.3,22.0,,,Dwc,,,unknown,,,3473.0,0.05,0.05,ECH20-EC-TM,,,33.9666,,,130,,,130,,,130,,,,,,102.6,,,MAQU,0.0,0.3,1.65,0.0,0.3,39.0,0.0,0.3,0.47,0.0,0.3,39.0,,,NST-08,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-08/MAQU_MAQU_NST-08_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1326,0.0,0.3,22.0,,,Dwc,,,unknown,,,3473.0,0.2,0.2,ECH20-EC-TM,,,33.9666,,,130,,,130,,,130,,,,,,102.6,,,MAQU,0.0,0.3,1.65,0.0,0.3,39.0,0.0,0.3,0.47,0.0,0.3,39.0,,,NST-08,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-08/MAQU_MAQU_NST-08_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1327,0.0,0.3,23.0,,,Dwc,,,unknown,,,3434.0,0.05,0.05,ECH20-EC-TM,,,33.9,,,40,,,40,,,40,,,,,,102.55,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-09,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-09/MAQU_MAQU_NST-09_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1328,0.0,0.3,23.0,,,Dwc,,,unknown,,,3434.0,0.1,0.1,ECH20-EC-TM,,,33.9,,,40,,,40,,,40,,,,,,102.55,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-09,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-09/MAQU_MAQU_NST-09_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1329,0.0,0.3,23.0,,,Dwc,,,unknown,,,3434.0,0.2,0.2,ECH20-EC-TM,,,33.9,,,40,,,40,,,40,,,,,,102.55,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-09,,,2017-12-11 02:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-09/MAQU_MAQU_NST-09_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1330,0.0,0.3,20.0,,,Dwc,,,unknown,,,3512.0,0.05,0.05,ECH20-EC-TM,,,33.85,,,40,,,40,,,40,,,,,,102.5666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-10,,,2018-07-12 06:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-10/MAQU_MAQU_NST-10_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1331,0.0,0.3,20.0,,,Dwc,,,unknown,,,3512.0,0.1,0.1,ECH20-EC-TM,,,33.85,,,40,,,40,,,40,,,,,,102.5666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-10,,,2018-07-12 06:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-10/MAQU_MAQU_NST-10_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1332,0.0,0.3,20.0,,,Dwc,,,unknown,,,3512.0,0.2,0.2,ECH20-EC-TM,,,33.85,,,40,,,40,,,40,,,,,,102.5666,,,MAQU,0.0,0.3,3.02,0.0,0.3,35.0,0.0,0.3,0.54,0.0,0.3,45.0,,,NST-10,,,2018-07-12 06:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-10/MAQU_MAQU_NST-10_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1333,,,,,,Dwc,,,unknown,,,3512.0,0.4,0.4,ECH20-EC-TM,,,33.85,,,40,,,40,,,40,,,,,,102.5666,,,MAQU,,,,,,,,,,,,,,,NST-10,,,2018-07-12 06:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/NST-10/MAQU_MAQU_NST-10_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1334,,,,,,Dwc,,,unknown,,,3512.0,0.8,0.8,ECH20-EC-TM,,,33.85,,,40,,,40,,,40,,,,,,102.5666,,,MAQU,,,,,,,,,,,,,,,NST-10,,,2018-07-12 06:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,MAQU/NST-10/MAQU_MAQU_NST-10_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1335,0.0,0.3,23.0,,,Dwc,,,unknown,,,3449.0,0.05,0.05,ECH20-EC-TM,,,33.99908,,,10,,,10,,,10,,,unknown,,,102.13661,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-24,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-24/MAQU_MAQU_NST-24_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1336,0.0,0.3,23.0,,,Dwc,,,unknown,,,3449.0,0.1,0.1,ECH20-EC-TM,,,33.99908,,,10,,,10,,,10,,,unknown,,,102.13661,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-24,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-24/MAQU_MAQU_NST-24_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1337,0.0,0.3,23.0,,,Dwc,,,unknown,,,3449.0,0.2,0.2,ECH20-EC-TM,,,33.99908,,,10,,,10,,,10,,,unknown,,,102.13661,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-24,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-24/MAQU_MAQU_NST-24_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1338,0.3,1.0,23.0,,,Dwc,,,unknown,,,3449.0,0.4,0.4,ECH20-EC-TM,,,33.99908,,,10,,,10,,,10,,,unknown,,,102.13661,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,NST-24,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/NST-24/MAQU_MAQU_NST-24_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
1339,0.3,1.0,23.0,,,Dwc,,,unknown,,,3449.0,0.8,0.8,ECH20-EC-TM,,,33.99908,,,10,,,10,,,10,,,unknown,,,102.13661,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,NST-24,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.8,0.8,soil_moisture,MAQU/NST-24/MAQU_MAQU_NST-24_sm_0.800000_0.800000_ECH20-EC-TM_20171005_20190311.stm,header_values
1340,0.0,0.3,23.0,,,Dwc,,,unknown,,,3596.0,0.05,0.05,ECH20-EC-TM,,,34.01525,,,130,,,130,,,130,,,unknown,,,101.99694,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-25,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.05,0.05,soil_moisture,MAQU/NST-25/MAQU_MAQU_NST-25_sm_0.050000_0.050000_ECH20-EC-TM_20171005_20190311.stm,header_values
1341,0.0,0.3,23.0,,,Dwc,,,unknown,,,3596.0,0.1,0.1,ECH20-EC-TM,,,34.01525,,,130,,,130,,,130,,,unknown,,,101.99694,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-25,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.1,0.1,soil_moisture,MAQU/NST-25/MAQU_MAQU_NST-25_sm_0.100000_0.100000_ECH20-EC-TM_20171005_20190311.stm,header_values
1342,0.0,0.3,23.0,,,Dwc,,,unknown,,,3596.0,0.2,0.2,ECH20-EC-TM,,,34.01525,,,130,,,130,,,130,,,unknown,,,101.99694,,,MAQU,0.0,0.3,1.95,0.0,0.3,38.0,0.0,0.3,0.48,0.0,0.3,39.0,,,NST-25,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.2,0.2,soil_moisture,MAQU/NST-25/MAQU_MAQU_NST-25_sm_0.200000_0.200000_ECH20-EC-TM_20171005_20190311.stm,header_values
1343,0.3,1.0,23.0,,,Dwc,,,unknown,,,3596.0,0.4,0.4,ECH20-EC-TM,,,34.01525,,,130,,,130,,,130,,,unknown,,,101.99694,,,MAQU,0.3,1.0,0.67,0.3,1.0,40.0,0.3,1.0,0.43,0.3,1.0,37.0,,,NST-25,,,2017-10-05 00:00:00,,,2019-03-11 00:00:00,0.4,0.4,soil_moisture,MAQU/NST-25/MAQU_MAQU_NST-25_sm_0.400000_0.400000_ECH20-EC-TM_20171005_20190311.stm,header_values
